dc_id,market_id,road_distance_km,transport_cost_baseline
C01,C01,0.0,0.0
C01,C02,299.202,116.688858
C01,C03,95.671,37.311768
C01,C04,136.153,53.09967
C01,C05,179.239,69.903093
C01,C06,217.906,84.983301
C01,C07,466.45,181.915383
C01,C08,101.831,39.713973
C01,M09,176.949,69.010188
C01,M10,121.325,47.316828
C01,M11,232.896,90.829479
C01,M12,191.466,74.671857
C01,M13,151.824,59.211243
C01,M14,350.464,136.68096
C01,M15,331.999,129.479571
C02,C01,295.938,115.415625
C02,C02,0.0,0.0
C02,C03,215.171,83.916807
C02,C04,185.517,72.351708
C02,C05,272.235,106.171572
C02,C06,413.439,161.241249
C02,C07,170.181,66.370512
C02,C08,282.828,110.302764
C02,M09,129.149,50.367915
C02,M10,236.325,92.166789
C02,M11,149.428,58.276764
C02,M12,326.862,127.476219
C02,M13,200.417,78.16263
C02,M14,101.608,39.627042
C02,M15,401.741,156.678873
C03,C01,94.432,36.82848
C03,C02,214.664,83.71896
C03,C03,0.0,0.0
C03,C04,42.166,16.44474
C03,C05,143.586,55.998657
C03,C06,215.624,84.093282
C03,C07,381.911,148.945485
C03,C08,73.437,28.640313
C03,M09,92.411,36.040329
C03,M10,104.401,40.716429
C03,M11,158.713,61.897992
C03,M12,158.734,61.906221
C03,M13,92.517,36.081747
C03,M14,256.376,99.986562
C03,M15,295.525,115.254828
C04,C01,130.468,50.882676
C04,C02,185.449,72.324954
C04,C03,41.136,16.042845
C04,C04,0.0,0.0
C04,C05,183.192,71.444802
C04,C06,255.229,99.539466
C04,C07,343.537,133.979391
C04,C08,117.359,45.769854
C04,M09,58.053,22.640865
C04,M10,119.154,46.470216
C04,M11,129.462,50.489985
C04,M12,198.339,77.352405
C04,M13,121.865,47.527233
C04,M14,224.651,87.613734
C04,M15,335.131,130.700973
C05,C01,174.415,68.021811
C05,C02,272.101,106.119273
C05,C03,143.821,56.090307
C05,C04,184.082,71.791785
C05,C05,0.0,0.0
C05,C06,149.464,58.291077
C05,C07,404.946,157.928862
C05,C08,85.317,33.273747
C05,M09,198.64,77.469444
C05,M10,246.416,96.102318
C05,M11,289.205,112.790067
C05,M12,57.665,22.489194
C05,M13,80.526,31.405296
C05,M14,265.505,103.546794
C05,M15,170.665,66.55935
C06,C01,213.613,83.309187
C06,C02,415.566,162.070779
C06,C03,216.801,84.552468
C06,C04,263.046,102.587862
C06,C05,150.3,58.616883
C06,C06,0.0,0.0
C06,C07,554.761,216.356634
C06,C08,148.427,57.886608
C06,M09,303.842,118.498419
C06,M10,288.388,112.471476
C06,M11,370.144,144.356121
C06,M12,107.025,41.739906
C06,M13,220.242,85.894224
C06,M14,415.32,161.974605
C06,M15,235.049,91.669032
C07,C01,463.365,180.712545
C07,C02,171.093,66.72627
C07,C03,374.416,146.022318
C07,C04,345.917,134.907786
C07,C05,409.138,159.563976
C07,C06,554.816,216.378279
C07,C07,0.0,0.0
C07,C08,426.072,166.168236
C07,M09,298.235,116.311572
C07,M10,403.733,157.455675
C07,M11,301.243,117.484809
C07,M12,468.512,182.719563
C07,M13,349.161,136.172595
C07,M14,149.56,58.328517
C07,M15,484.527,188.965413
C08,C01,97.311,37.951095
C08,C02,283.339,110.502132
C08,C03,72.6,28.314078
C08,C04,120.29,46.912905
C08,C05,84.99,33.1461
C08,C06,148.033,57.732987
C08,C07,423.098,165.00822
C08,C08,0.0,0.0
C08,M09,161.086,62.823462
C08,M10,164.042,63.976575
C08,M11,227.387,88.681125
C08,M12,97.125,37.878594
C08,M13,81.637,31.838274
C08,M14,283.657,110.626191
C08,M15,237.75,92.722539
