market_id,city,demand_weight,mu_annual_tonnes,mu_daily_tonnes,sigma2_daily,observed_price_cny_per_tonne,v_i_baseline,price_status
C01,Shanghai,0.13683557,136835.573955,374.891983,5621.75997,3150.0,150.0,observed
C02,Nanjing,0.06856212,68562.117509,187.841418,1411.37593,3350.0,350.0,observed
C03,Suzhou,0.14717246,147172.461993,403.212225,6503.203924,3470.0,470.0,observed
C04,Wuxi,0.09072564,90725.643356,248.563406,2471.350681,3340.0,340.0,observed_range_midpoint
C05,Hangzhou,0.06501047,65010.469402,178.110875,1268.939353,3310.0,310.0,observed
C06,Ningbo,0.09268548,92685.481489,253.932826,2579.275205,3140.0,140.0,observed_brand_specific
C07,Hefei,0.05833481,58334.814852,159.821411,1021.715331,3360.0,360.0,observed
C08,Jiaxing,0.04411411,44114.112716,120.860583,584.291219,3440.0,440.0,observed
M09,Changzhou,0.06042952,60429.518257,165.560324,1096.408835,3265.0,265.0,observed_range_midpoint
M10,Nantong,0.06945268,69452.675106,190.281302,1448.27895,3320.0,320.0,observed
M11,Taizhou (Jiangsu),0.03906201,39062.014979,107.019219,458.12453,3240.0,240.0,observed_range_midpoint
M12,Shaoxing,0.04695005,46950.045998,128.630263,661.829782,3610.0,610.0,observed_older_date
M13,Huzhou,0.02325397,23253.970942,63.709509,162.356064,3260.0,260.0,observed_spec_band
M14,Wuhu,0.02699422,26994.218783,73.956764,218.784116,3220.0,220.0,observed
M15,Jinhua,0.03041688,30416.880664,83.33392,277.781686,3453.33,453.3299999999999,derived_proxy
