market_id,city,province,second_industry_va_2024_100m_cny,screening_price_cny_per_tonne,price_status,price_date,price_specification
C01,Shanghai,Shanghai,11637.57,3150,observed,2026-07-10,HRB400E Φ20
C02,Nanjing,Jiangsu,5831.06,3350,observed,2026-07-10,HRB400E Φ20
C03,Suzhou,Jiangsu,12516.7,3470,observed,2026-07-14,HRB400E Φ20
C04,Wuxi,Jiangsu,7716.02,3340,observed_range_midpoint,2026-06-08,HRB400E Φ20
C05,Hangzhou,Zhejiang,5529.0,3310,observed,2026-07-10,HRB400E Φ20
C06,Ningbo,Zhejiang,7882.7,3140,observed_brand_specific,2026-07-15,HRB400E Φ20
C07,Hefei,Anhui,4961.25,3360,observed,2026-07-10,HRB400E Φ20
C08,Jiaxing,Zhejiang,3751.81,3440,observed,2026-06-30,HRB400E Φ20
M09,Changzhou,Jiangsu,5139.4,3265,observed_range_midpoint,2026-06-08,HRB400E Φ20
M10,Nantong,Jiangsu,5906.8,3320,observed,2026-07-10,HRB400E Φ20
M11,Taizhou (Jiangsu),Jiangsu,3322.14,3240,observed_range_midpoint,2026-07-06,HRB400E Φ20
M12,Shaoxing,Zhejiang,3993.0,3610,observed_older_date,2026-05-29,HRB400E Φ20
M13,Huzhou,Zhejiang,1977.7,3260,observed_spec_band,2026-06-18,HRB400E Φ18-22
M14,Wuhu,Anhui,2295.8,3220,observed,2026-07-10,HRB400E Φ20
M15,Jinhua,Zhejiang,2586.89,3453.33,derived_proxy,,"mean(Hangzhou,Jiaxing,Shaoxing)"
