scenario_km,arc_id,old_distance_km,new_distance_km,annual_demand_tonnes,unit_transport_cost_change,annual_transport_cost_upper_bound,annual_transport_emission_upper_bound,source_type
0,C01|C01,0,0,136835.573955,0.0,0.0,0.0,researcher_defined_scenario_parameter
0,C02|C02,0,0,68562.117509,0.0,0.0,0.0,researcher_defined_scenario_parameter
0,C03|C03,0,0,147172.461993,0.0,0.0,0.0,researcher_defined_scenario_parameter
0,C04|C04,0,0,90725.643356,0.0,0.0,0.0,researcher_defined_scenario_parameter
0,C05|C05,0,0,65010.469402,0.0,0.0,0.0,researcher_defined_scenario_parameter
0,C06|C06,0,0,92685.481489,0.0,0.0,0.0,researcher_defined_scenario_parameter
0,C07|C07,0,0,58334.814852,0.0,0.0,0.0,researcher_defined_scenario_parameter
0,C08|C08,0,0,44114.112716,0.0,0.0,0.0,researcher_defined_scenario_parameter
5,C01|C01,0,5,136835.573955,1.9500000000000002,266829.36921225,47.865083769459005,researcher_defined_scenario_parameter
5,C02|C02,0,5,68562.117509,1.9500000000000002,133696.12914255002,23.983028704648202,researcher_defined_scenario_parameter
5,C03|C03,0,5,147172.461993,1.9500000000000002,286986.30088635004,51.4809272051514,researcher_defined_scenario_parameter
5,C04|C04,0,5,90725.643356,1.9500000000000002,176915.00454420003,31.7358300459288,researcher_defined_scenario_parameter
5,C05|C05,0,5,65010.469402,1.9500000000000002,126770.41533390002,22.740662196819603,researcher_defined_scenario_parameter
5,C06|C06,0,5,92685.481489,1.9500000000000002,180736.68890355,32.4213814248522,researcher_defined_scenario_parameter
5,C07|C07,0,5,58334.814852,1.9500000000000002,113752.8889614,20.405518235229604,researcher_defined_scenario_parameter
5,C08|C08,0,5,44114.112716,1.9500000000000002,86022.51979620001,15.4311166280568,researcher_defined_scenario_parameter
10,C01|C01,0,10,136835.573955,3.9000000000000004,533658.7384245,95.73016753891801,researcher_defined_scenario_parameter
10,C02|C02,0,10,68562.117509,3.9000000000000004,267392.25828510005,47.966057409296404,researcher_defined_scenario_parameter
10,C03|C03,0,10,147172.461993,3.9000000000000004,573972.6017727001,102.9618544103028,researcher_defined_scenario_parameter
10,C04|C04,0,10,90725.643356,3.9000000000000004,353830.00908840005,63.4716600918576,researcher_defined_scenario_parameter
10,C05|C05,0,10,65010.469402,3.9000000000000004,253540.83066780004,45.481324393639206,researcher_defined_scenario_parameter
10,C06|C06,0,10,92685.481489,3.9000000000000004,361473.3778071,64.8427628497044,researcher_defined_scenario_parameter
10,C07|C07,0,10,58334.814852,3.9000000000000004,227505.7779228,40.81103647045921,researcher_defined_scenario_parameter
10,C08|C08,0,10,44114.112716,3.9000000000000004,172045.03959240002,30.8622332561136,researcher_defined_scenario_parameter
15,C01|C01,0,15,136835.573955,5.8500000000000005,800488.1076367501,143.59525130837702,researcher_defined_scenario_parameter
15,C02|C02,0,15,68562.117509,5.8500000000000005,401088.38742765004,71.9490861139446,researcher_defined_scenario_parameter
15,C03|C03,0,15,147172.461993,5.8500000000000005,860958.9026590501,154.4427816154542,researcher_defined_scenario_parameter
15,C04|C04,0,15,90725.643356,5.8500000000000005,530745.0136326,95.2074901377864,researcher_defined_scenario_parameter
15,C05|C05,0,15,65010.469402,5.8500000000000005,380311.24600170006,68.22198659045881,researcher_defined_scenario_parameter
15,C06|C06,0,15,92685.481489,5.8500000000000005,542210.06671065,97.2641442745566,researcher_defined_scenario_parameter
15,C07|C07,0,15,58334.814852,5.8500000000000005,341258.66688420007,61.21655470568881,researcher_defined_scenario_parameter
15,C08|C08,0,15,44114.112716,5.8500000000000005,258067.5593886,46.2933498841704,researcher_defined_scenario_parameter
20,C01|C01,0,20,136835.573955,7.800000000000001,1067317.476849,191.46033507783602,researcher_defined_scenario_parameter
20,C02|C02,0,20,68562.117509,7.800000000000001,534784.5165702001,95.93211481859281,researcher_defined_scenario_parameter
20,C03|C03,0,20,147172.461993,7.800000000000001,1147945.2035454002,205.9237088206056,researcher_defined_scenario_parameter
20,C04|C04,0,20,90725.643356,7.800000000000001,707660.0181768001,126.9433201837152,researcher_defined_scenario_parameter
20,C05|C05,0,20,65010.469402,7.800000000000001,507081.6613356001,90.96264878727841,researcher_defined_scenario_parameter
20,C06|C06,0,20,92685.481489,7.800000000000001,722946.7556142,129.6855256994088,researcher_defined_scenario_parameter
20,C07|C07,0,20,58334.814852,7.800000000000001,455011.5558456,81.62207294091841,researcher_defined_scenario_parameter
20,C08|C08,0,20,44114.112716,7.800000000000001,344090.07918480004,61.7244665122272,researcher_defined_scenario_parameter
