dc_id,market_id,city,current_distance_km,candidate_distance_km,annual_demand_tonnes,transport_rate_cny_per_tonne_km,transport_emission_factor_tco2e_per_tonne_km,cost_cny_per_tonne,emission_tco2e_per_tonne,delta_cost_cny_per_tonne,delta_emission_tco2e_per_tonne,annual_cost_if_all_local_demand_served,annual_emission_if_all_local_demand_served,delta_annual_cost,delta_annual_emission
C01,C01,Shanghai,0.0,0,136835.573955,0.39,6.996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C01,C01,Shanghai,0.0,5,136835.573955,0.39,6.996e-05,1.9500000000000002,0.0003498,1.9500000000000002,0.0003498,266829.36921225005,47.865083769459,266829.36921225005,47.865083769459
C01,C01,Shanghai,0.0,10,136835.573955,0.39,6.996e-05,3.9000000000000004,0.0006996,3.9000000000000004,0.0006996,533658.7384245001,95.730167538918,533658.7384245001,95.730167538918
C01,C01,Shanghai,0.0,15,136835.573955,0.39,6.996e-05,5.8500000000000005,0.0010494,5.8500000000000005,0.0010494,800488.1076367501,143.59525130837702,800488.1076367501,143.59525130837702
C01,C01,Shanghai,0.0,20,136835.573955,0.39,6.996e-05,7.800000000000001,0.0013992,7.800000000000001,0.0013992,1067317.4768490002,191.460335077836,1067317.4768490002,191.460335077836
C01,C01,Shanghai,0.0,30,136835.573955,0.39,6.996e-05,11.700000000000001,0.0020988,11.700000000000001,0.0020988,1600976.2152735002,287.19050261675403,1600976.2152735002,287.19050261675403
C02,C02,Nanjing,0.0,0,68562.117509,0.39,6.996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C02,C02,Nanjing,0.0,5,68562.117509,0.39,6.996e-05,1.9500000000000002,0.0003498,1.9500000000000002,0.0003498,133696.12914255002,23.983028704648202,133696.12914255002,23.983028704648202
C02,C02,Nanjing,0.0,10,68562.117509,0.39,6.996e-05,3.9000000000000004,0.0006996,3.9000000000000004,0.0006996,267392.25828510005,47.966057409296404,267392.25828510005,47.966057409296404
C02,C02,Nanjing,0.0,15,68562.117509,0.39,6.996e-05,5.8500000000000005,0.0010494,5.8500000000000005,0.0010494,401088.38742765004,71.9490861139446,401088.38742765004,71.9490861139446
