file_name,column_name,data_type,unit,non_null_value_count,unique_value_count,current_source_type,lineage_coverage,identifier_field,notes
nodes.csv,node_id,string,identifier,16,16,identifier,100%,true,
nodes.csv,city,string,text,16,16,identifier,100%,true,
nodes.csv,province,string,text,16,4,identifier,100%,true,
nodes.csv,latitude,numeric,degree,16,16,derived,100%,false,
nodes.csv,longitude,numeric,degree,16,16,derived,100%,false,
nodes.csv,supplier_flag,numeric,flag,16,2,derived,100%,false,
nodes.csv,candidate_dc_flag,numeric,flag,16,2,derived,100%,false,
nodes.csv,market_flag,numeric,flag,16,2,derived,100%,false,
market_params.csv,market_id,string,identifier,15,15,identifier,100%,true,
market_params.csv,city,string,text,15,15,identifier,100%,true,
market_params.csv,demand_weight,numeric,ratio,15,15,derived,100%,false,
market_params.csv,mu_annual_tonnes,numeric,tonnes/year,15,15,derived,100%,false,
market_params.csv,mu_daily_tonnes,numeric,tonnes/day,15,15,derived,100%,false,
market_params.csv,sigma2_daily,numeric,(tonnes/day)^2,15,15,derived,100%,false,
market_params.csv,observed_price_cny_per_tonne,numeric,CNY/tonne,15,15,proxy,100%,false,
market_params.csv,v_i_baseline,numeric,CNY/tonne,15,15,derived,100%,false,
market_params.csv,price_status,string,text,15,6,identifier,100%,true,
dc_params.csv,dc_id,string,identifier,8,8,identifier,100%,true,
dc_params.csv,city,string,text,8,8,identifier,100%,true,
dc_params.csv,warehouse_rent_cny_per_sqm_month,numeric,CNY/(m2*month),8,7,observed,100%,false,
dc_params.csv,warehouse_area_sqm,numeric,m2,8,1,scenario,100%,false,
dc_params.csv,fixed_operating_multiplier,numeric,ratio,8,1,scenario,100%,false,
dc_params.csv,f_j_cny_per_year,numeric,CNY/year,8,7,derived,100%,false,
dc_params.csv,rent_status,string,text,8,2,identifier,100%,true,
inventory_params.csv,dc_id,string,identifier,8,8,identifier,100%,true,
inventory_params.csv,F_j_cny_per_order,numeric,CNY/order,8,1,scenario,100%,false,
inventory_params.csv,g_j_cny_per_order,numeric,CNY/order,8,1,scenario,100%,false,
inventory_params.csv,h_cny_per_tonne_year,numeric,CNY/(tonne*year),8,1,scenario,100%,false,
inventory_params.csv,L_j_days,numeric,day,8,1,scenario,100%,false,
inventory_params.csv,alpha,numeric,ratio,8,1,scenario,100%,false,
inventory_params.csv,z_alpha,numeric,ratio,8,1,scenario,100%,false,
dc_emission_params.csv,dc_id,string,identifier,8,8,identifier,100%,true,
dc_emission_params.csv,hat_f_j_tco2e_per_year,numeric,tCO2e/year,8,1,scenario,100%,false,
dc_emission_params.csv,hat_h_tco2e_per_tonne_year,numeric,tCO2e/(tonne*year),8,1,scenario,100%,false,
supplier_dc.csv,supplier_id,string,identifier,8,1,identifier,100%,true,
supplier_dc.csv,dc_id,string,identifier,8,8,identifier,100%,true,
supplier_dc.csv,road_distance_km,numeric,km,8,8,derived,100%,false,
supplier_dc.csv,transport_cost_baseline,numeric,CNY/tonne,8,8,derived,100%,false,
dc_market.csv,dc_id,string,identifier,120,8,identifier,100%,true,
dc_market.csv,market_id,string,identifier,120,15,identifier,100%,true,
dc_market.csv,road_distance_km,numeric,km,120,113,derived,100%,false,
dc_market.csv,transport_cost_baseline,numeric,CNY/tonne,120,113,derived,100%,false,
