lineage_id,output_file,output_record_id,output_column,output_value,output_unit,lineage_role,source_record_id,transformation_id,scenario_id,parent_input_ids,verification_status,notes
nodes.csv:S1:node_id,nodes.csv,S1,node_id,S1,configuration,identifier,NODE_S1,,,[],documented,
nodes.csv:S1:city,nodes.csv,S1,city,Ma'anshan,configuration,identifier,NODE_S1,,,[],documented,
nodes.csv:S1:province,nodes.csv,S1,province,Anhui,configuration,identifier,NODE_S1,,,[],documented,
nodes.csv:S1:latitude,nodes.csv,S1,latitude,31.6707,configuration,observed,NODE_S1,,,[],documented,
nodes.csv:S1:longitude,nodes.csv,S1,longitude,118.5061,configuration,observed,NODE_S1,,,[],documented,
nodes.csv:S1:supplier_flag,nodes.csv,S1,supplier_flag,1,configuration,identifier,NODE_S1,,,[],documented,
nodes.csv:S1:candidate_dc_flag,nodes.csv,S1,candidate_dc_flag,0,configuration,identifier,NODE_S1,,,[],documented,
nodes.csv:S1:market_flag,nodes.csv,S1,market_flag,0,configuration,identifier,NODE_S1,,,[],documented,
nodes.csv:C01:node_id,nodes.csv,C01,node_id,C01,configuration,identifier,NODE_C01,,,[],documented,
nodes.csv:C01:city,nodes.csv,C01,city,Shanghai,configuration,identifier,NODE_C01,,,[],documented,
nodes.csv:C01:province,nodes.csv,C01,province,Shanghai,configuration,identifier,NODE_C01,,,[],documented,
nodes.csv:C01:latitude,nodes.csv,C01,latitude,31.2304,configuration,observed,NODE_C01,,,[],documented,
nodes.csv:C01:longitude,nodes.csv,C01,longitude,121.4737,configuration,observed,NODE_C01,,,[],documented,
nodes.csv:C01:supplier_flag,nodes.csv,C01,supplier_flag,0,configuration,identifier,NODE_C01,,,[],documented,
nodes.csv:C01:candidate_dc_flag,nodes.csv,C01,candidate_dc_flag,1,configuration,identifier,NODE_C01,,,[],documented,
nodes.csv:C01:market_flag,nodes.csv,C01,market_flag,1,configuration,identifier,NODE_C01,,,[],documented,
nodes.csv:C02:node_id,nodes.csv,C02,node_id,C02,configuration,identifier,NODE_C02,,,[],documented,
nodes.csv:C02:city,nodes.csv,C02,city,Nanjing,configuration,identifier,NODE_C02,,,[],documented,
nodes.csv:C02:province,nodes.csv,C02,province,Jiangsu,configuration,identifier,NODE_C02,,,[],documented,
nodes.csv:C02:latitude,nodes.csv,C02,latitude,32.0603,configuration,observed,NODE_C02,,,[],documented,
nodes.csv:C02:longitude,nodes.csv,C02,longitude,118.7969,configuration,observed,NODE_C02,,,[],documented,
nodes.csv:C02:supplier_flag,nodes.csv,C02,supplier_flag,0,configuration,identifier,NODE_C02,,,[],documented,
nodes.csv:C02:candidate_dc_flag,nodes.csv,C02,candidate_dc_flag,1,configuration,identifier,NODE_C02,,,[],documented,
nodes.csv:C02:market_flag,nodes.csv,C02,market_flag,1,configuration,identifier,NODE_C02,,,[],documented,
nodes.csv:C03:node_id,nodes.csv,C03,node_id,C03,configuration,identifier,NODE_C03,,,[],documented,
nodes.csv:C03:city,nodes.csv,C03,city,Suzhou,configuration,identifier,NODE_C03,,,[],documented,
nodes.csv:C03:province,nodes.csv,C03,province,Jiangsu,configuration,identifier,NODE_C03,,,[],documented,
nodes.csv:C03:latitude,nodes.csv,C03,latitude,31.2989,configuration,observed,NODE_C03,,,[],documented,
nodes.csv:C03:longitude,nodes.csv,C03,longitude,120.5853,configuration,observed,NODE_C03,,,[],documented,
nodes.csv:C03:supplier_flag,nodes.csv,C03,supplier_flag,0,configuration,identifier,NODE_C03,,,[],documented,
nodes.csv:C03:candidate_dc_flag,nodes.csv,C03,candidate_dc_flag,1,configuration,identifier,NODE_C03,,,[],documented,
nodes.csv:C03:market_flag,nodes.csv,C03,market_flag,1,configuration,identifier,NODE_C03,,,[],documented,
nodes.csv:C04:node_id,nodes.csv,C04,node_id,C04,configuration,identifier,NODE_C04,,,[],documented,
nodes.csv:C04:city,nodes.csv,C04,city,Wuxi,configuration,identifier,NODE_C04,,,[],documented,
nodes.csv:C04:province,nodes.csv,C04,province,Jiangsu,configuration,identifier,NODE_C04,,,[],documented,
nodes.csv:C04:latitude,nodes.csv,C04,latitude,31.4912,configuration,observed,NODE_C04,,,[],documented,
nodes.csv:C04:longitude,nodes.csv,C04,longitude,120.3119,configuration,observed,NODE_C04,,,[],documented,
nodes.csv:C04:supplier_flag,nodes.csv,C04,supplier_flag,0,configuration,identifier,NODE_C04,,,[],documented,
nodes.csv:C04:candidate_dc_flag,nodes.csv,C04,candidate_dc_flag,1,configuration,identifier,NODE_C04,,,[],documented,
nodes.csv:C04:market_flag,nodes.csv,C04,market_flag,1,configuration,identifier,NODE_C04,,,[],documented,
nodes.csv:C05:node_id,nodes.csv,C05,node_id,C05,configuration,identifier,NODE_C05,,,[],documented,
nodes.csv:C05:city,nodes.csv,C05,city,Hangzhou,configuration,identifier,NODE_C05,,,[],documented,
nodes.csv:C05:province,nodes.csv,C05,province,Zhejiang,configuration,identifier,NODE_C05,,,[],documented,
nodes.csv:C05:latitude,nodes.csv,C05,latitude,30.2741,configuration,observed,NODE_C05,,,[],documented,
nodes.csv:C05:longitude,nodes.csv,C05,longitude,120.1551,configuration,observed,NODE_C05,,,[],documented,
nodes.csv:C05:supplier_flag,nodes.csv,C05,supplier_flag,0,configuration,identifier,NODE_C05,,,[],documented,
nodes.csv:C05:candidate_dc_flag,nodes.csv,C05,candidate_dc_flag,1,configuration,identifier,NODE_C05,,,[],documented,
nodes.csv:C05:market_flag,nodes.csv,C05,market_flag,1,configuration,identifier,NODE_C05,,,[],documented,
