scenario_id,parameter_name,value,unit,scope,rationale,source_or_assumption,calibration_status,sensitivity_required,notes
SCEN_REGIONAL_TOTAL_DEMAND_TONNES,regional_total_annual_demand_tonnes,1000000,tonnes/year,regional,transparent scenario,config/baseline.json,documented,true,
SCEN_OPERATING_DAYS,operating_days_per_year,365,day,regional,transparent scenario,config/baseline.json,documented,true,
SCEN_DEMAND_CV,demand_cv,0.2,ratio,regional,transparent scenario,config/baseline.json,documented,true,
SCEN_WAREHOUSE_AREA_SQM,warehouse_area_sqm,10000,m2,regional,transparent scenario,config/baseline.json,documented,true,
SCEN_FIXED_OPERATING_MULTIPLIER,fixed_operating_multiplier,1.2,ratio,regional,transparent scenario,config/baseline.json,documented,true,
SCEN_TRANSPORT_RATE_CNY_PER_TONNE_KM,transport_rate_cny_per_tonne_km,0.39,CNY/(tonne*km),regional,transparent scenario,config/baseline.json,documented,true,
SCEN_TRANSPORT_EMISSION_FACTOR_TCO2E_PER_TONNE_KM,transport_emission_factor_tco2e_per_tonne_km,6.996e-05,tCO2e/(tonne*km),regional,transparent scenario,config/baseline.json,documented,true,
SCEN_PRODUCTION_COST_CNY_PER_TONNE,production_cost_cny_per_tonne,3000,CNY/tonne,regional,transparent scenario,config/baseline.json,documented,true,
SCEN_F_J_CNY_PER_ORDER,F_j_cny_per_order,1000,CNY/order,regional,transparent scenario,config/baseline.json,documented,true,
SCEN_G_J_CNY_PER_ORDER,g_j_cny_per_order,5000,CNY/order,regional,transparent scenario,config/baseline.json,documented,true,
SCEN_HOLDING_COST_H_CNY_PER_TONNE_YEAR,holding_cost_h_cny_per_tonne_year,300,CNY/(tonne*year),regional,transparent scenario,config/baseline.json,documented,true,
SCEN_LEAD_TIME_DAYS,lead_time_days,1,day,regional,transparent scenario,config/baseline.json,documented,true,
SCEN_ALPHA,alpha,0.975,ratio,regional,transparent scenario,config/baseline.json,documented,true,
SCEN_Z_ALPHA,z_alpha,1.96,ratio,regional,transparent scenario,config/baseline.json,documented,true,
SCEN_FIXED_DC_EMISSION_TCO2E_PER_YEAR,fixed_dc_emission_tco2e_per_year,110,tCO2e/year,regional,transparent scenario,config/baseline.json,documented,true,
SCEN_INVENTORY_EMISSION_FACTOR_TCO2E_PER_TONNE_YEAR,inventory_emission_factor_tco2e_per_tonne_year,0.00055,tCO2e/(tonne*year),regional,transparent scenario,config/baseline.json,documented,true,
SCEN_GAMMA,gamma,0.5,ratio,regional,transparent scenario,config/baseline.json,documented,true,
SCEN_DELTA_CANDIDATES,delta_candidates,"[500, 1000, 1500, 2500, 4000]",CNY,regional,transparent scenario,config/baseline.json,candidate,true,
SCEN_CARBON_QUOTA,carbon_quota,not_yet_generated,status,regional,transparent scenario,config/baseline.json,documented,true,not generated
