dc_id,query_order,query_text,request_url_without_sensitive_data,request_timestamp,response_cache_path,result_count,selected_result_index,selected_display_name,selected_latitude,selected_longitude,selected_osm_type,selected_osm_id,selected_category,selected_type,acceptance_status,acceptance_reason,reviewer_note
C01,1,外高桥物流园区二期 上海,https://nominatim.openstreetmap.org/search,2026-08-02T14:09:20.187062+00:00,data/cache/v0.2-candidate/geocoding/C01_query_01.json,0,,,,,,,,,no_result,No Nominatim result.,<urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>
C01,2,外高桥物流园区二期 港建路 上海,https://nominatim.openstreetmap.org/search,2026-08-02T14:10:02.268935+00:00,data/cache/v0.2-candidate/geocoding/C01_query_02.json,0,,,,,,,,,no_result,No Nominatim result.,<urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>
C01,3,外高桥物流园区 上海 高东镇,https://nominatim.openstreetmap.org/search,2026-08-02T14:10:44.379113+00:00,data/cache/v0.2-candidate/geocoding/C01_query_03.json,0,,,,,,,,,no_result,No Nominatim result.,<urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>
C02,1,南京龙潭综合物流园,https://nominatim.openstreetmap.org/search,2026-08-02T14:11:26.482532+00:00,data/cache/v0.2-candidate/geocoding/C02_query_01.json,0,,,,,,,,,no_result,No Nominatim result.,<urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>
C02,2,龙潭综合物流园 疏港大道 南京,https://nominatim.openstreetmap.org/search,2026-08-02T14:12:08.562441+00:00,data/cache/v0.2-candidate/geocoding/C02_query_02.json,0,,,,,,,,,no_result,No Nominatim result.,<urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>
C02,3,南京龙潭港 综合物流园,https://nominatim.openstreetmap.org/search,2026-08-02T14:12:50.647273+00:00,data/cache/v0.2-candidate/geocoding/C02_query_03.json,0,,,,,,,,,no_result,No Nominatim result.,<urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>
C03,1,普洛斯苏州望亭物流园 海盛路75号,https://nominatim.openstreetmap.org/search,2026-08-02T14:13:32.776377+00:00,data/cache/v0.2-candidate/geocoding/C03_query_01.json,0,,,,,,,,,no_result,No Nominatim result.,<urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>
C03,2,苏州市相城区海盛路75号,https://nominatim.openstreetmap.org/search,2026-08-02T14:13:32.776377+00:00,data/cache/v0.2-candidate/geocoding/C03_query_02.json,2,,,,,,,,,ambiguous,Manual selection required; inspect cached result.,Cached response
C03,3,苏州市相城区海盛路68号,https://nominatim.openstreetmap.org/search,2026-08-02T14:13:32.776377+00:00,data/cache/v0.2-candidate/geocoding/C03_query_03.json,2,,,,,,,,,ambiguous,Manual selection required; inspect cached result.,Cached response
C04,1,无锡西站物流园,https://nominatim.openstreetmap.org/search,2026-08-02T14:13:32.777813+00:00,data/cache/v0.2-candidate/geocoding/C04_query_01.json,2,,,,,,,,,ambiguous,Manual selection required; inspect cached result.,Cached response
